Facility ID,Hospital Name,Detailed Region,Region,Procedure,Year of Hospital Discharge,Number of Cases,Number of Deaths,Observed Mortality Rate,Expected Mortality Rate,Risk-Adjusted Mortality Rate,Lower Limit of Confidence Interval,Upper Limit of Confidence Interval,Comparison Results
1469,Mount Sinai St. Lukes,Manhattan,NY Metro - NYC,All PCI,2015,489,12,2.45,1.61,1.74,0.90,3.03,Rate not different than Statewide Rate
541,North Shore Univ Hosp,NY Metro - Long Island,NY Metro - Long Island,All PCI,2015,2370,23,0.97,1.19,0.93,0.59,1.39,Rate not different than Statewide Rate
1306,NYP-Brooklyn Methodist,Kings,NY Metro - NYC,All PCI,2015,1251,23,1.84,0.95,2.19,1.39,3.29,Rate significantly higher than Statewide Rate
1464,NYP-Columbia Presby.,Manhattan,NY Metro - NYC,All PCI,2015,2360,17,0.72,0.90,0.91,0.53,1.45,Rate not different than Statewide Rate
1122,NYP-Lawrence Hosp,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2015,113,0,0.00,0.95,0.00,0.00,3.90,Rate not different than Statewide Rate
1637,NYP-Queens,Queens,NY Metro - NYC,All PCI,2015,778,10,1.29,0.77,1.90,0.91,3.49,Rate not different than Statewide Rate
1458,NYP-Weill Cornell,Manhattan,NY Metro - NYC,All PCI,2015,1056,11,1.04,1.23,0.96,0.48,1.72,Rate not different than Statewide Rate
0,NYS - All Hospitals,New York State,New York State,All PCI,2015,49035,558,1.14,1.14,1.14,,,Statewide Rate
1463,NYU Hospitals Center,Manhattan,NY Metro - NYC,All PCI,2015,1643,6,0.37,0.75,0.55,0.20,1.20,Rate not different than Statewide Rate
1304,NYU Langone Hosp.-Brooklyn,Kings,NY Metro - NYC,All PCI,2015,187,2,1.07,2.04,0.60,0.07,2.15,Rate not different than Statewide Rate
511,NYU Winthrop Hospital,NY Metro - Long Island,NY Metro - Long Island,All PCI,2015,1041,9,0.86,1.41,0.70,0.32,1.32,Rate not different than Statewide Rate
66,Olean General Hosp.,Western NY - Buffalo,Western NY - Buffalo,All PCI,2015,149,3,2.01,1.54,1.48,0.30,4.34,Rate not different than Statewide Rate
699,Orange Regional Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2015,508,4,0.79,1.09,0.82,0.22,2.11,Rate not different than Statewide Rate
1738,Richmond Univ Med Cntr,Staten Island,NY Metro - NYC,All PCI,2015,119,1,0.84,0.96,0.99,0.01,5.53,Rate not different than Statewide Rate
411,Rochester General Hosp,Western NY - Rochester,Western NY - Rochester,All PCI,2015,1625,21,1.29,1.15,1.28,0.79,1.95,Rate not different than Statewide Rate
756,Samaritan Hospital,Capital District,Capital District,All PCI,2015,215,2,0.93,1.09,0.97,0.11,3.51,Rate not different than Statewide Rate
818,Saratoga Hospital,Capital District,Capital District,All PCI,2015,87,3,3.45,1.41,2.78,0.56,8.11,Rate not different than Statewide Rate
527,South Nassau Com. Hosp,NY Metro - Long Island,NY Metro - Long Island,All PCI,2015,420,10,2.38,1.10,2.46,1.18,4.52,Rate significantly higher than Statewide Rate
924,Southside Hospital,NY Metro - Long Island,NY Metro - Long Island,All PCI,2015,703,6,0.85,0.96,1.01,0.37,2.21,Rate not different than Statewide Rate
1740,Staten Island Univ Hosp,Staten Island,NY Metro - NYC,All PCI,2015,710,5,0.70,0.77,1.04,0.34,2.44,Rate not different than Statewide Rate
1176,St. Barnabas Hospital,Bronx,NY Metro - NYC,All PCI,2015,164,4,2.44,1.03,2.69,0.72,6.90,Rate not different than Statewide Rate
943,St. Catherine of Siena,NY Metro - Long Island,NY Metro - Long Island,All PCI,2015,299,3,1.00,1.33,0.86,0.17,2.50,Rate not different than Statewide Rate
598,St. Elizabeth Med Ctr,Central NY,Central NY,All PCI,2015,763,14,1.83,1.27,1.64,0.90,2.75,Rate not different than Statewide Rate
563,St. Francis Hospital,NY Metro - Long Island,NY Metro - Long Island,All PCI,2015,2768,37,1.34,1.04,1.46,1.03,2.01,Rate not different than Statewide Rate
630,St. Josephs Hospital,Central NY,Central NY,All PCI,2015,1960,26,1.33,1.35,1.11,0.73,1.63,Rate not different than Statewide Rate
694,St. Lukes Cornwall Hosp,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2015,259,3,1.16,1.31,1.00,0.20,2.93,Rate not different than Statewide Rate
5,St. Peters Hospital,Capital District,Capital District,All PCI,2015,856,11,1.29,0.92,1.59,0.79,2.84,Rate not different than Statewide Rate
413,Strong Memorial Hosp,Western NY - Rochester,Western NY - Rochester,All PCI,2015,910,14,1.54,1.21,1.45,0.79,2.43,Rate not different than Statewide Rate
58,UHS-Wilson Med Ctr,Central NY,Central NY,All PCI,2015,747,11,1.47,1.29,1.30,0.65,2.33,Rate not different than Statewide Rate
471,Unity Hospital,Western NY - Rochester,Western NY - Rochester,All PCI,2015,282,2,0.71,1.71,0.47,0.05,1.70,Rate not different than Statewide Rate
1320,Univ. Hosp-Brooklyn,Kings,NY Metro - NYC,All PCI,2015,280,5,1.79,2.25,0.90,0.29,2.11,Rate not different than Statewide Rate
245,Univ. Hosp-Stony Brook,NY Metro - Long Island,NY Metro - Long Island,All PCI,2015,1431,24,1.68,1.48,1.29,0.82,1.92,Rate not different than Statewide Rate
635,Univ. Hosp-Upstate,Central NY,Central NY,All PCI,2015,186,6,3.23,1.80,2.04,0.75,4.44,Rate not different than Statewide Rate
135,UVM Health Network CVP,Capital District,Capital District,All PCI,2015,572,8,1.40,0.93,1.71,0.74,3.37,Rate not different than Statewide Rate
181,Vassar Bros. Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2015,683,12,1.76,1.62,1.24,0.64,2.16,Rate not different than Statewide Rate
1139,Westchester Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2015,393,7,1.78,1.91,1.06,0.43,2.19,Rate not different than Statewide Rate
1045,White Plains Hospital,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2015,419,4,0.95,1.27,0.86,0.23,2.19,Rate not different than Statewide Rate
1,Albany Med. Ctr,Capital District,Capital District,CABG,2015,260,3,1.15,1.66,1.08,0.22,3.16,Rate not different than Statewide Rate
116,Arnot Ogden Med Ctr,Western NY - Rochester,Western NY - Rochester,CABG,2015,80,1,1.25,0.82,2.37,0.03,13.16,Rate not different than Statewide Rate
746,Bassett Medical Center,Capital District,Capital District,CABG,2015,74,2,2.70,1.02,4.13,0.46,14.91,Rate not different than Statewide Rate
1438,Bellevue Hospital Ctr,Manhattan,NY Metro - NYC,CABG,2015,113,2,1.77,0.95,2.89,0.32,10.42,Rate not different than Statewide Rate
207,Buffalo General Med Ctr,Western NY - Buffalo,Western NY - Buffalo,CABG,2015,474,10,2.11,1.25,2.62,1.26,4.82,Rate not different than Statewide Rate
829,Ellis Hospital,Capital District,Capital District,CABG,2015,185,4,2.16,1.58,2.12,0.57,5.44,Rate not different than Statewide Rate
779,Good Sam - Suffern,NY Metro - New Rochelle,NY Metro - New Rochelle,CABG,2015,108,2,1.85,1.10,2.63,0.29,9.48,Rate not different than Statewide Rate
925,Good Sam-West Islip,NY Metro - Long Island,NY Metro - Long Island,CABG,2015,199,2,1.01,1.39,1.12,0.13,4.05,Rate not different than Statewide Rate
1450,Lenox Hill Hospital,Manhattan,NY Metro - NYC,CABG,2015,259,8,3.09,1.84,2.61,1.12,5.14,Rate not different than Statewide Rate
1630,Long Island Jewish MC,Queens,NY Metro - NYC,CABG,2015,97,0,0.00,1.48,0.00,0.00,3.98,Rate not different than Statewide Rate
1305,Maimonides Medical Ctr,Kings,NY Metro - NYC,CABG,2015,255,8,3.14,2.28,2.14,0.92,4.22,Rate not different than Statewide Rate
213,Mercy Hospital-Buffalo,Western NY - Buffalo,Western NY - Buffalo,CABG,2015,391,5,1.28,1.42,1.40,0.45,3.27,Rate not different than Statewide Rate
1169,Montefiore - Moses,Bronx,NY Metro - NYC,CABG,2015,176,0,0.00,1.24,0.00,0.00,2.61,Rate not different than Statewide Rate
3058,Montefiore - Weiler,Bronx,NY Metro - NYC,CABG,2015,194,4,2.06,1.41,2.28,0.61,5.84,Rate not different than Statewide Rate
1439,Mount Sinai Beth Israel,Manhattan,NY Metro - NYC,CABG,2015,210,1,0.48,1.26,0.59,0.01,3.28,Rate not different than Statewide Rate
1456,Mount Sinai Hospital,Manhattan,NY Metro - NYC,CABG,2015,398,5,1.26,1.69,1.16,0.37,2.70,Rate not different than Statewide Rate
1469,Mount Sinai St. Lukes,Manhattan,NY Metro - NYC,CABG,2015,146,1,0.68,1.57,0.68,0.01,3.78,Rate not different than Statewide Rate
541,North Shore Univ Hosp,NY Metro - Long Island,NY Metro - Long Island,CABG,2015,421,4,0.95,1.70,0.87,0.23,2.23,Rate not different than Statewide Rate
1306,NYP-Brooklyn Methodist,Kings,NY Metro - NYC,CABG,2015,110,1,0.91,1.91,0.74,0.01,4.12,Rate not different than Statewide Rate
1464,NYP-Columbia Presby.,Manhattan,NY Metro - NYC,CABG,2015,387,8,2.07,2.06,1.56,0.67,3.08,Rate not different than Statewide Rate
1637,NYP-Queens,Queens,NY Metro - NYC,CABG,2015,117,0,0.00,0.83,0.00,0.00,5.88,Rate not different than Statewide Rate
1458,NYP-Weill Cornell,Manhattan,NY Metro - NYC,CABG,2015,196,2,1.02,1.56,1.02,0.11,3.69,Rate not different than Statewide Rate
0,NYS - All Hospitals,New York State,New York State,CABG,2015,8356,130,1.56,1.56,1.56,,,Statewide Rate
1463,NYU Hospitals Center,Manhattan,NY Metro - NYC,CABG,2015,183,2,1.09,1.18,1.45,0.16,5.22,Rate not different than Statewide Rate
511,NYU Winthrop Hospital,NY Metro - Long Island,NY Metro - Long Island,CABG,2015,208,1,0.48,1.32,0.57,0.01,3.15,Rate not different than Statewide Rate
411,Rochester General Hosp,Western NY - Rochester,Western NY - Rochester,CABG,2015,355,8,2.25,1.60,2.19,0.94,4.31,Rate not different than Statewide Rate
924,Southside Hospital,NY Metro - Long Island,NY Metro - Long Island,CABG,2015,170,1,0.59,0.97,0.95,0.01,5.27,Rate not different than Statewide Rate
1740,Staten Island Univ Hosp,Staten Island,NY Metro - NYC,CABG,2015,185,4,2.16,1.83,1.84,0.49,4.70,Rate not different than Statewide Rate
598,St. Elizabeth Med Ctr,Central NY,Central NY,CABG,2015,166,5,3.01,1.57,2.98,0.96,6.94,Rate not different than Statewide Rate
563,St. Francis Hospital,NY Metro - Long Island,NY Metro - Long Island,CABG,2015,481,9,1.87,1.88,1.54,0.70,2.93,Rate not different than Statewide Rate
630,St. Josephs Hospital,Central NY,Central NY,CABG,2015,382,6,1.57,1.59,1.54,0.56,3.36,Rate not different than Statewide Rate
5,St. Peters Hospital,Capital District,Capital District,CABG,2015,344,1,0.29,1.05,0.43,0.01,2.39,Rate not different than Statewide Rate
413,Strong Memorial Hosp,Western NY - Rochester,Western NY - Rochester,CABG,2015,203,2,0.99,1.75,0.88,0.10,3.17,Rate not different than Statewide Rate
58,UHS-Wilson Med Ctr,Central NY,Central NY,CABG,2015,142,2,1.41,1.34,1.63,0.18,5.90,Rate not different than Statewide Rate
1320,Univ. Hosp-Brooklyn,Kings,NY Metro - NYC,CABG,2015,36,6,16.67,2.06,12.60,4.60,27.43,Rate significantly higher than Statewide Rate
245,Univ. Hosp-Stony Brook,NY Metro - Long Island,NY Metro - Long Island,CABG,2015,297,3,1.01,1.88,0.84,0.17,2.45,Rate not different than Statewide Rate
635,Univ. Hosp-Upstate,Central NY,Central NY,CABG,2015,31,1,3.23,1.06,4.75,0.06,26.44,Rate not different than Statewide Rate
181,Vassar Bros. Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,CABG,2015,174,2,1.15,1.57,1.14,0.13,4.10,Rate not different than Statewide Rate
1139,Westchester Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,CABG,2015,149,4,2.68,2.15,1.94,0.52,4.97,Rate not different than Statewide Rate
1,Albany Med. Ctr,Capital District,Capital District,Non-Emergency PCI,2015,516,10,1.94,0.95,1.52,0.73,2.80,Rate not different than Statewide Rate
116,Arnot Ogden Med Ctr,Western NY - Rochester,Western NY - Rochester,Non-Emergency PCI,2015,249,1,0.40,0.56,0.53,0.01,2.96,Rate not different than Statewide Rate
746,Bassett Medical Center,Capital District,Capital District,Non-Emergency PCI,2015,442,1,0.23,0.70,0.24,0.00,1.33,Rate not different than Statewide Rate
1438,Bellevue Hospital Ctr,Manhattan,NY Metro - NYC,Non-Emergency PCI,2015,313,2,0.64,0.91,0.52,0.06,1.87,Rate not different than Statewide Rate
1178,Bronx-Lebanon-Concourse,Bronx,NY Metro - NYC,Non-Emergency PCI,2015,70,0,0.00,0.68,0.00,0.00,5.73,Rate not different than Statewide Rate
1286,Brookdale Univ Hosp Med Ctr,Kings,NY Metro - NYC,Non-Emergency PCI,2015,112,1,0.89,1.20,0.55,0.01,3.08,Rate not different than Statewide Rate
885,Brookhaven Memorial,NY Metro - Long Island,NY Metro - Long Island,Non-Emergency PCI,2015,272,4,1.47,0.56,1.95,0.52,5.00,Rate not different than Statewide Rate
207,Buffalo General Med Ctr,Western NY - Buffalo,Western NY - Buffalo,Non-Emergency PCI,2015,1087,9,0.83,0.75,0.82,0.38,1.56,Rate not different than Statewide Rate
977,Cayuga Med Ctr Ithaca,Central NY,Central NY,Non-Emergency PCI,2015,81,0,0.00,0.65,0.00,0.00,5.15,Rate not different than Statewide Rate
636,Crouse Hospital,Central NY,Central NY,Non-Emergency PCI,2015,220,2,0.91,0.57,1.18,0.13,4.27,Rate not different than Statewide Rate
829,Ellis Hospital,Capital District,Capital District,Non-Emergency PCI,2015,278,4,1.44,0.58,1.85,0.50,4.73,Rate not different than Statewide Rate
1626,Elmhurst Hospital Ctr,Queens,NY Metro - NYC,Non-Emergency PCI,2015,305,0,0.00,0.39,0.00,0.00,2.28,Rate not different than Statewide Rate
599,Faxton - St. Lukes,Central NY,Central NY,Non-Emergency PCI,2015,131,1,0.76,0.63,0.89,0.01,4.97,Rate not different than Statewide Rate
1005,Glens Falls Hospital,Capital District,Capital District,Non-Emergency PCI,2015,108,0,0.00,0.43,0.00,0.00,5.90,Rate not different than Statewide Rate
779,Good Sam - Suffern,NY Metro - New Rochelle,NY Metro - New Rochelle,Non-Emergency PCI,2015,399,3,0.75,0.95,0.59,0.12,1.72,Rate not different than Statewide Rate
925,Good Sam-West Islip,NY Metro - Long Island,NY Metro - Long Island,Non-Emergency PCI,2015,969,3,0.31,0.55,0.42,0.08,1.22,Rate not different than Statewide Rate
913,Huntington Hospital,NY Metro - Long Island,NY Metro - Long Island,Non-Emergency PCI,2015,395,1,0.25,0.77,0.24,0.00,1.35,Rate not different than Statewide Rate
1629,Jamaica Hosp Med Ctr,Queens,NY Metro - NYC,Non-Emergency PCI,2015,157,0,0.00,0.70,0.00,0.00,2.47,Rate not different than Statewide Rate
1450,Lenox Hill Hospital,Manhattan,NY Metro - NYC,Non-Emergency PCI,2015,1741,11,0.63,0.58,0.81,0.40,1.45,Rate not different than Statewide Rate
1630,Long Island Jewish MC,Queens,NY Metro - NYC,Non-Emergency PCI,2015,903,10,1.11,0.64,1.28,0.61,2.36,Rate not different than Statewide Rate
1305,Maimonides Medical Ctr,Kings,NY Metro - NYC,Non-Emergency PCI,2015,832,6,0.72,1.32,0.40,0.15,0.88,Rate not different than Statewide Rate
213,Mercy Hospital-Buffalo,Western NY - Buffalo,Western NY - Buffalo,Non-Emergency PCI,2015,860,9,1.05,0.69,1.12,0.51,2.13,Rate not different than Statewide Rate
1169,Montefiore - Moses,Bronx,NY Metro - NYC,Non-Emergency PCI,2015,799,3,0.38,0.70,0.40,0.08,1.17,Rate not different than Statewide Rate
3058,Montefiore - Weiler,Bronx,NY Metro - NYC,Non-Emergency PCI,2015,442,0,0.00,0.91,0.00,0.00,0.68,Rate significantly lower than Statewide Rate
1439,Mount Sinai Beth Israel,Manhattan,NY Metro - NYC,Non-Emergency PCI,2015,1591,5,0.31,0.54,0.43,0.14,1.00,Rate not different than Statewide Rate
1456,Mount Sinai Hospital,Manhattan,NY Metro - NYC,Non-Emergency PCI,2015,3483,12,0.34,0.70,0.37,0.19,0.64,Rate significantly lower than Statewide Rate
1469,Mount Sinai St. Lukes,Manhattan,NY Metro - NYC,Non-Emergency PCI,2015,413,6,1.45,0.94,1.15,0.42,2.51,Rate not different than Statewide Rate
541,North Shore Univ Hosp,NY Metro - Long Island,NY Metro - Long Island,Non-Emergency PCI,2015,2034,17,0.84,0.87,0.72,0.42,1.15,Rate not different than Statewide Rate
1306,NYP-Brooklyn Methodist,Kings,NY Metro - NYC,Non-Emergency PCI,2015,1130,11,0.97,0.67,1.08,0.54,1.94,Rate not different than Statewide Rate
1464,NYP-Columbia Presby.,Manhattan,NY Metro - NYC,Non-Emergency PCI,2015,2227,13,0.58,0.67,0.65,0.34,1.11,Rate not different than Statewide Rate
1122,NYP-Lawrence Hosp,NY Metro - New Rochelle,NY Metro - New Rochelle,Non-Emergency PCI,2015,93,0,0.00,0.72,0.00,0.00,4.07,Rate not different than Statewide Rate
1637,NYP-Queens,Queens,NY Metro - NYC,Non-Emergency PCI,2015,623,4,0.64,0.41,1.17,0.32,3.00,Rate not different than Statewide Rate
1458,NYP-Weill Cornell,Manhattan,NY Metro - NYC,Non-Emergency PCI,2015,946,5,0.53,0.82,0.48,0.15,1.12,Rate not different than Statewide Rate
0,NYS - All Hospitals,New York State,New York State,Non-Emergency PCI,2015,40412,300,0.74,0.74,0.74,,,Statewide Rate
1463,NYU Hospitals Center,Manhattan,NY Metro - NYC,Non-Emergency PCI,2015,1539,5,0.32,0.58,0.42,0.13,0.97,Rate not different than Statewide Rate
1304,NYU Langone Hosp.-Brooklyn,Kings,NY Metro - NYC,Non-Emergency PCI,2015,144,1,0.69,1.48,0.35,0.00,1.94,Rate not different than Statewide Rate
511,NYU Winthrop Hospital,NY Metro - Long Island,NY Metro - Long Island,Non-Emergency PCI,2015,887,6,0.68,1.03,0.49,0.18,1.06,Rate not different than Statewide Rate
66,Olean General Hosp.,Western NY - Buffalo,Western NY - Buffalo,Non-Emergency PCI,2015,71,0,0.00,0.76,0.00,0.00,5.06,Rate not different than Statewide Rate
699,Orange Regional Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,Non-Emergency PCI,2015,350,3,0.86,0.76,0.84,0.17,2.45,Rate not different than Statewide Rate
1738,Richmond Univ Med Cntr,Staten Island,NY Metro - NYC,Non-Emergency PCI,2015,89,1,1.12,0.38,2.20,0.03,12.25,Rate not different than Statewide Rate
411,Rochester General Hosp,Western NY - Rochester,Western NY - Rochester,Non-Emergency PCI,2015,1301,11,0.85,0.81,0.77,0.39,1.39,Rate not different than Statewide Rate
756,Samaritan Hospital,Capital District,Capital District,Non-Emergency PCI,2015,119,1,0.84,0.44,1.41,0.02,7.85,Rate not different than Statewide Rate
818,Saratoga Hospital,Capital District,Capital District,Non-Emergency PCI,2015,71,2,2.82,0.95,2.21,0.25,7.99,Rate not different than Statewide Rate
527,South Nassau Com. Hosp,NY Metro - Long Island,NY Metro - Long Island,Non-Emergency PCI,2015,300,8,2.67,0.87,2.28,0.98,4.50,Rate significantly higher than Statewide Rate
924,Southside Hospital,NY Metro - Long Island,NY Metro - Long Island,Non-Emergency PCI,2015,604,5,0.83,0.62,0.99,0.32,2.32,Rate not different than Statewide Rate
1740,Staten Island Univ Hosp,Staten Island,NY Metro - NYC,Non-Emergency PCI,2015,583,3,0.51,0.45,0.84,0.17,2.47,Rate not different than Statewide Rate
1176,St. Barnabas Hospital,Bronx,NY Metro - NYC,Non-Emergency PCI,2015,129,1,0.78,0.60,0.96,0.01,5.35,Rate not different than Statewide Rate
943,St. Catherine of Siena,NY Metro - Long Island,NY Metro - Long Island,Non-Emergency PCI,2015,234,1,0.43,0.75,0.42,0.01,2.35,Rate not different than Statewide Rate
598,St. Elizabeth Med Ctr,Central NY,Central NY,Non-Emergency PCI,2015,616,7,1.14,0.74,1.14,0.46,2.35,Rate not different than Statewide Rate
563,St. Francis Hospital,NY Metro - Long Island,NY Metro - Long Island,Non-Emergency PCI,2015,2592,27,1.04,0.82,0.94,0.62,1.37,Rate not different than Statewide Rate
630,St. Josephs Hospital,Central NY,Central NY,Non-Emergency PCI,2015,1505,17,1.13,0.88,0.96,0.56,1.53,Rate not different than Statewide Rate
694,St. Lukes Cornwall Hosp,NY Metro - New Rochelle,NY Metro - New Rochelle,Non-Emergency PCI,2015,173,1,0.58,0.77,0.56,0.01,3.09,Rate not different than Statewide Rate
5,St. Peters Hospital,Capital District,Capital District,Non-Emergency PCI,2015,659,7,1.06,0.69,1.15,0.46,2.37,Rate not different than Statewide Rate
413,Strong Memorial Hosp,Western NY - Rochester,Western NY - Rochester,Non-Emergency PCI,2015,612,6,0.98,0.60,1.21,0.44,2.64,Rate not different than Statewide Rate
58,UHS-Wilson Med Ctr,Central NY,Central NY,Non-Emergency PCI,2015,556,4,0.72,0.60,0.90,0.24,2.30,Rate not different than Statewide Rate
471,Unity Hospital,Western NY - Rochester,Western NY - Rochester,Non-Emergency PCI,2015,207,0,0.00,0.85,0.00,0.00,1.54,Rate not different than Statewide Rate
1320,Univ. Hosp-Brooklyn,Kings,NY Metro - NYC,Non-Emergency PCI,2015,185,1,0.54,1.60,0.25,0.00,1.39,Rate not different than Statewide Rate
245,Univ. Hosp-Stony Brook,NY Metro - Long Island,NY Metro - Long Island,Non-Emergency PCI,2015,1074,13,1.21,0.96,0.93,0.50,1.59,Rate not different than Statewide Rate
635,Univ. Hosp-Upstate,Central NY,Central NY,Non-Emergency PCI,2015,106,3,2.83,0.65,3.23,0.65,9.43,Rate not different than Statewide Rate
135,UVM Health Network CVP,Capital District,Capital District,Non-Emergency PCI,2015,437,5,1.14,0.62,1.37,0.44,3.20,Rate not different than Statewide Rate
181,Vassar Bros. Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,Non-Emergency PCI,2015,478,4,0.84,1.00,0.62,0.17,1.58,Rate not different than Statewide Rate
1139,Westchester Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,Non-Emergency PCI,2015,232,2,0.86,1.17,0.55,0.06,1.98,Rate not different than Statewide Rate
1045,White Plains Hospital,NY Metro - New Rochelle,NY Metro - New Rochelle,Non-Emergency PCI,2015,338,1,0.30,0.64,0.34,0.00,1.91,Rate not different than Statewide Rate
1,Albany Med. Ctr,Capital District,Capital District,All PCI,2014,649,11,1.69,1.28,1.56,0.78,2.79,Rate not different than Statewide Rate
116,Arnot Ogden Med Ctr,Western NY - Rochester,Western NY - Rochester,All PCI,2014,393,10,2.54,1.31,2.29,1.10,4.21,Rate not different than Statewide Rate
746,Bassett Medical Center,Capital District,Capital District,All PCI,2014,455,5,1.10,1.06,1.22,0.39,2.84,Rate not different than Statewide Rate
1438,Bellevue Hospital Ctr,Manhattan,NY Metro - NYC,All PCI,2014,449,8,1.78,1.65,1.27,0.55,2.50,Rate not different than Statewide Rate
1178,Bronx-Lebanon-Concourse,Bronx,NY Metro - NYC,All PCI,2014,96,2,2.08,3.17,0.77,0.09,2.79,Rate not different than Statewide Rate
1286,Brookdale Univ Hosp Med Ctr,Kings,NY Metro - NYC,All PCI,2014,179,1,0.56,1.49,0.44,0.01,2.45,Rate not different than Statewide Rate
885,Brookhaven Memorial,NY Metro - Long Island,NY Metro - Long Island,All PCI,2014,285,6,2.11,1.22,2.03,0.74,4.41,Rate not different than Statewide Rate
