uf,tipo_doenca,local_obito,faixa_etaria,sexo,total
DF,PNEUMONIA,HOSPITAL,"< 9",F,13
DF,PNEUMONIA,HOSPITAL,"< 9",M,7
DF,PNEUMONIA,OUTRO,"< 9",F,1
DF,SEPTICEMIA,HOSPITAL,"< 9",F,30
DF,SEPTICEMIA,HOSPITAL,"< 9",M,27
DF,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,3
DF,SRAG,HOSPITAL,"< 9",F,2
DF,SRAG,HOSPITAL,"< 9",M,4
DF,SRAG,OUTRO,"< 9",M,1
ES,OUTRAS,DOMICILIO,"< 9",F,1
ES,OUTRAS,DOMICILIO,"< 9",M,5
ES,OUTRAS,HOSPITAL,"< 9",F,48
ES,OUTRAS,HOSPITAL,"< 9",M,61
ES,OUTRAS,OUTRO,"< 9",F,1
ES,OUTRAS,OUTRO,"< 9",M,1
ES,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,6
ES,OUTRAS,VIA_PUBLICA,"< 9",F,1
ES,COVID,HOSPITAL,"< 9",F,1
ES,COVID,HOSPITAL,"< 9",M,1
ES,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,4
ES,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,8
ES,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
ES,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
ES,PNEUMONIA,DOMICILIO,"< 9",F,1
ES,PNEUMONIA,HOSPITAL,"< 9",F,14
ES,PNEUMONIA,HOSPITAL,"< 9",M,16
ES,PNEUMONIA,OUTRO,"< 9",F,1
ES,SEPTICEMIA,HOSPITAL,"< 9",F,37
ES,SEPTICEMIA,HOSPITAL,"< 9",M,31
ES,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
ES,SRAG,HOSPITAL,"< 9",F,2
ES,SRAG,HOSPITAL,"< 9",M,1
GO,OUTRAS,DOMICILIO,"< 9",F,4
GO,OUTRAS,DOMICILIO,"< 9",M,4
GO,OUTRAS,HOSPITAL,"< 9",F,50
GO,OUTRAS,HOSPITAL,"< 9",M,71
GO,OUTRAS,IGNORADO,"< 9",F,1
GO,OUTRAS,OUTRO,"< 9",F,1
GO,OUTRAS,OUTRO,"< 9",M,5
GO,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,10
GO,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,10
GO,OUTRAS,VIA_PUBLICA,"< 9",M,1
GO,COVID,HOSPITAL,"< 9",F,1
GO,COVID,HOSPITAL,"< 9",M,3
GO,INDETERMINADA,HOSPITAL,"< 9",M,1
GO,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
GO,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,2
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,33
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,27
GO,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
GO,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
GO,PNEUMONIA,DOMICILIO,"< 9",F,1
GO,PNEUMONIA,DOMICILIO,"< 9",M,2
GO,PNEUMONIA,HOSPITAL,"< 9",F,7
GO,PNEUMONIA,HOSPITAL,"< 9",M,18
GO,PNEUMONIA,IGNORADO,"< 9",F,1
GO,PNEUMONIA,IGNORADO,"< 9",M,1
GO,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,3
GO,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,4
GO,SEPTICEMIA,HOSPITAL,"< 9",F,34
GO,SEPTICEMIA,HOSPITAL,"< 9",M,50
GO,SEPTICEMIA,IGNORADO,"< 9",F,1
GO,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,6
GO,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,5
GO,SRAG,HOSPITAL,"< 9",F,1
GO,SRAG,HOSPITAL,"< 9",M,2
GO,SRAG,OUTRO,"< 9",M,1
MA,OUTRAS,AMBULANCIA,"< 9",F,1
MA,OUTRAS,DOMICILIO,"< 9",F,5
MA,OUTRAS,DOMICILIO,"< 9",M,7
MA,OUTRAS,HOSPITAL,"< 9",F,76
MA,OUTRAS,HOSPITAL,"< 9",I,2
MA,OUTRAS,HOSPITAL,"< 9",M,102
MA,OUTRAS,IGNORADO,"< 9",F,1
MA,OUTRAS,OUTRO,"< 9",F,5
MA,OUTRAS,OUTRO,"< 9",M,4
MA,OUTRAS,VIA_PUBLICA,"< 9",F,1
MA,COVID,HOSPITAL,"< 9",F,1
MA,INDETERMINADA,HOSPITAL,"< 9",F,2
MA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,2
MA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,13
MA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,15
MA,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,2
MA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
MA,PNEUMONIA,AMBULANCIA,"< 9",M,1
MA,PNEUMONIA,DOMICILIO,"< 9",F,1
MA,PNEUMONIA,DOMICILIO,"< 9",M,1
MA,PNEUMONIA,HOSPITAL,"< 9",F,10
MA,PNEUMONIA,HOSPITAL,"< 9",M,10
MA,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
MA,SEPTICEMIA,HOSPITAL,"< 9",F,26
MA,SEPTICEMIA,HOSPITAL,"< 9",I,1
MA,SEPTICEMIA,HOSPITAL,"< 9",M,26
MA,SEPTICEMIA,OUTRO,"< 9",F,1
MA,SEPTICEMIA,OUTRO,"< 9",M,2
MA,SRAG,HOSPITAL,"< 9",M,2
MG,OUTRAS,DOMICILIO,"< 9",F,14
MG,OUTRAS,DOMICILIO,"< 9",M,18
MG,OUTRAS,HOSPITAL,"< 9",F,233
MG,OUTRAS,HOSPITAL,"< 9",I,4
MG,OUTRAS,HOSPITAL,"< 9",M,308
MG,OUTRAS,IGNORADO,"< 9",F,2
MG,OUTRAS,IGNORADO,"< 9",I,1
MG,OUTRAS,IGNORADO,"< 9",M,4
MG,OUTRAS,OUTRO,"< 9",F,1
MG,OUTRAS,OUTRO,"< 9",M,4
MG,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,7
MG,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,15
MG,OUTRAS,VIA_PUBLICA,"< 9",M,2
MG,COVID,HOSPITAL,"< 9",F,2
MG,COVID,HOSPITAL,"< 9",M,4
MG,INDETERMINADA,DOMICILIO,"< 9",F,1
MG,INDETERMINADA,DOMICILIO,"< 9",M,1
MG,INDETERMINADA,HOSPITAL,"< 9",F,2
MG,INDETERMINADA,HOSPITAL,"< 9",M,3
MG,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
MG,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
MG,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,3
MG,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,4
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,55
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,58
MG,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
MG,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
MG,PNEUMONIA,DOMICILIO,"< 9",F,1
MG,PNEUMONIA,DOMICILIO,"< 9",M,3
MG,PNEUMONIA,HOSPITAL,"< 9",F,26
MG,PNEUMONIA,HOSPITAL,"< 9",M,43
MG,PNEUMONIA,IGNORADO,"< 9",F,1
MG,PNEUMONIA,IGNORADO,"< 9",M,1
MG,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,4
MG,SEPTICEMIA,HOSPITAL,"< 9",F,134
MG,SEPTICEMIA,HOSPITAL,"< 9",I,1
MG,SEPTICEMIA,HOSPITAL,"< 9",M,150
MG,SEPTICEMIA,IGNORADO,"< 9",M,1
MG,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
MG,SEPTICEMIA,VIA_PUBLICA,"< 9",M,1
MG,SRAG,HOSPITAL,"< 9",F,4
MG,SRAG,HOSPITAL,"< 9",M,3
MS,OUTRAS,DOMICILIO,"< 9",F,6
MS,OUTRAS,DOMICILIO,"< 9",M,7
MS,OUTRAS,HOSPITAL,"< 9",F,83
MS,OUTRAS,HOSPITAL,"< 9",M,90
MS,OUTRAS,IGNORADO,"< 9",M,1
MS,COVID,HOSPITAL,"< 9",M,1
MS,INDETERMINADA,DOMICILIO,"< 9",F,1
MS,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,1
MS,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,15
MS,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,16
MS,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
MS,INSUFICIENCIA_RESPIRATORIA,POSTO_SAUDE,"< 9",F,1
MS,PNEUMONIA,DOMICILIO,"< 9",F,1
MS,PNEUMONIA,DOMICILIO,"< 9",M,1
MS,PNEUMONIA,HOSPITAL,"< 9",F,9
MS,PNEUMONIA,HOSPITAL,"< 9",M,2
MS,SEPTICEMIA,HOSPITAL,"< 9",F,16
MS,SEPTICEMIA,HOSPITAL,"< 9",M,30
MS,SEPTICEMIA,OUTRO,"< 9",M,1
MS,SRAG,HOSPITAL,"< 9",F,2
MS,SRAG,HOSPITAL,"< 9",M,1
MT,OUTRAS,DOMICILIO,"< 9",F,2
MT,OUTRAS,DOMICILIO,"< 9",M,5
MT,OUTRAS,HOSPITAL,"< 9",F,32
MT,OUTRAS,HOSPITAL,"< 9",M,38
MT,OUTRAS,IGNORADO,"< 9",F,10
MT,OUTRAS,IGNORADO,"< 9",M,10
MT,OUTRAS,OUTRO,"< 9",F,3
MT,OUTRAS,OUTRO,"< 9",M,3
MT,OUTRAS,VIA_PUBLICA,"< 9",M,4
MT,COVID,HOSPITAL,"< 9",F,1
MT,INDETERMINADA,DOMICILIO,"< 9",M,1
MT,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,6
MT,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,12
MT,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",F,3
MT,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",I,1
MT,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",M,4
MT,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,2
MT,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
MT,PNEUMONIA,HOSPITAL,"< 9",F,6
MT,PNEUMONIA,HOSPITAL,"< 9",M,11
MT,PNEUMONIA,IGNORADO,"< 9",F,6
MT,PNEUMONIA,IGNORADO,"< 9",M,2
MT,SEPTICEMIA,HOSPITAL,"< 9",F,21
MT,SEPTICEMIA,HOSPITAL,"< 9",M,18
MT,SEPTICEMIA,IGNORADO,"< 9",F,11
MT,SEPTICEMIA,IGNORADO,"< 9",M,16
MT,SEPTICEMIA,OUTRO,"< 9",M,2
MT,SRAG,HOSPITAL,"< 9",F,1
PA,OUTRAS,DOMICILIO,"< 9",F,9
PA,OUTRAS,DOMICILIO,"< 9",I,1
PA,OUTRAS,DOMICILIO,"< 9",M,13
PA,OUTRAS,HOSPITAL,"< 9",F,111
PA,OUTRAS,HOSPITAL,"< 9",I,4
PA,OUTRAS,HOSPITAL,"< 9",M,119
PA,OUTRAS,OUTRO,"< 9",F,1
PA,OUTRAS,OUTRO,"< 9",M,4
PA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,5
PA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,3
PA,OUTRAS,VIA_PUBLICA,"< 9",F,2
PA,OUTRAS,VIA_PUBLICA,"< 9",M,1
PA,COVID,HOSPITAL,"< 9",F,2
PA,COVID,HOSPITAL,"< 9",M,2
PA,INDETERMINADA,DOMICILIO,"< 9",M,2
PA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
PA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,1
PA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,41
PA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
PA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,34
PA,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
PA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
PA,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",F,2
PA,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",M,2
PA,PNEUMONIA,DOMICILIO,"< 9",F,2
PA,PNEUMONIA,DOMICILIO,"< 9",M,1
PA,PNEUMONIA,HOSPITAL,"< 9",F,20
PA,PNEUMONIA,HOSPITAL,"< 9",M,30
PA,PNEUMONIA,OUTRO,"< 9",M,2
PA,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
PA,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,3
PA,SEPTICEMIA,HOSPITAL,"< 9",F,36
PA,SEPTICEMIA,HOSPITAL,"< 9",M,45
PA,SRAG,HOSPITAL,"< 9",F,2
PB,OUTRAS,DOMICILIO,"< 9",F,11
PB,OUTRAS,DOMICILIO,"< 9",M,3
PB,OUTRAS,HOSPITAL,"< 9",F,49
PB,OUTRAS,HOSPITAL,"< 9",M,79
PB,OUTRAS,OUTRO,"< 9",F,3
PB,OUTRAS,OUTRO,"< 9",M,2
PB,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,1
PB,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,2
PB,INDETERMINADA,DOMICILIO,"< 9",F,2
PB,INDETERMINADA,HOSPITAL,"< 9",F,1
PB,INDETERMINADA,HOSPITAL,"< 9",M,2
PB,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,1
PB,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,6
PB,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
PB,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,9
PB,PNEUMONIA,DOMICILIO,"< 9",F,2
PB,PNEUMONIA,DOMICILIO,"< 9",M,1
PB,PNEUMONIA,HOSPITAL,"< 9",F,20
PB,PNEUMONIA,HOSPITAL,"< 9",M,20
PB,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
PB,SEPTICEMIA,HOSPITAL,"< 9",F,36
PB,SEPTICEMIA,HOSPITAL,"< 9",M,38
PB,SEPTICEMIA,IGNORADO,"< 9",F,1
PB,SEPTICEMIA,OUTRO,"< 9",F,1
PB,SRAG,HOSPITAL,"< 9",M,1
PB,SRAG,OUTROS_SERVICOS_SAUDE,"< 9",F,1
PE,OUTRAS,DOMICILIO,"< 9",F,4
PE,OUTRAS,DOMICILIO,"< 9",M,9
PE,OUTRAS,HOSPITAL,"< 9",F,216
PE,OUTRAS,HOSPITAL,"< 9",I,8
PE,OUTRAS,HOSPITAL,"< 9",M,265
PE,OUTRAS,IGNORADO,"< 9",F,1
PE,OUTRAS,IGNORADO,"< 9",M,3
PE,OUTRAS,OUTRO,"< 9",F,4
PE,OUTRAS,OUTRO,"< 9",M,4
PE,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,5
PE,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,7
PE,OUTRAS,VIA_PUBLICA,"< 9",F,4
PE,OUTRAS,VIA_PUBLICA,"< 9",M,2
PE,COVID,HOSPITAL,"< 9",M,1
PE,INDETERMINADA,DOMICILIO,"< 9",M,1
PE,INDETERMINADA,HOSPITAL,"< 9",F,4
PE,INDETERMINADA,HOSPITAL,"< 9",M,2
PE,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,2
PE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,28
